ID,Severity,Status,Area,File,Lines,Finding,Impact,Fix direction,Verification,Architecture relation,Permalink,Latest review status,Latest review note,Reviewed head
FS-001,Blocker,Confirmed-static,Projection / inline objects,crates/flowstate-document/src/loro_projection.rs,180-268,Object placeholders are always projected as standalone blocks.,Text before and after U+FFFC is split into separate paragraph blocks. Inline equations/images cannot retain inline placement even though the schema supports inline display.,"Represent inline objects inside paragraph projection spans, or explicitly remove inline-object support from the schema and UI. Do not force every placeholder through InputBlock.","Create `A[inline equation]B`, reopen, export, and concurrently edit around both sides.",Conflicts with the plan's requirement that inline and block equations use the same placeholder and are rendered according to metadata.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L180-L268,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-002,High,Confirmed-static,Projection / corruption,crates/flowstate-document/src/loro_projection.rs,234-257,A placeholder with no resolvable block record silently disappears.,"Canonical text can contain a structural anchor that is invisible in the editor, search, and export. A later edit may unknowingly delete or relocate it.",Project an explicit corrupt/missing-object block and schedule a Loro repair; never silently drop the anchor.,"Delete a block-map entry while leaving U+FFFC, then reopen.",The plan requires malformed state to be repaired before further sharing.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L234-L257,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-003,High,Confirmed-static,Projection / corruption,crates/flowstate-document/src/loro_projection.rs,271-294,Malformed or unresolved object anchors are silently skipped.,"Blocks with missing cursor bytes, undecodable cursors, or failed resolution become unreachable without a visible error.","Return structured projection diagnostics, render a recovery placeholder, and schedule canonical repair/quarantine.",Corrupt each anchor field independently and reopen.,Violates deterministic rendering from canonical state and repair expectations.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L271-L294,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-004,High,Confirmed-static,Projection / collisions,crates/flowstate-document/src/loro_projection.rs,271-294,Multiple object blocks at the same resolved cursor overwrite each other in a BTreeMap.,"Only the last block survives projection, causing invisible durable content.","Store a vector per position and define deterministic tie ordering, preferably by CRDT anchor ordering plus durable block ID.",Insert two concurrent objects at one cursor from separate replicas.,Object ordering must be canonical and deterministic.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L271-L294,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-005,High,Confirmed-static,Projection / identity,crates/flowstate-document/src/loro_projection.rs,554-573,Projection fabricates paragraph and block IDs from the current block index when metadata is missing.,"The fallback IDs shift when structure changes and can be used by later commands, causing commands to target the wrong paragraph/block.",Treat missing durable identity as malformed canonical state. Schedule a Loro repair that creates durable IDs before accepting commands.,"Remove paragraph metadata, reopen, insert an object before it, and compare IDs.",All durable IDs must be stored in Loro; projection-generated IDs must not become canonical.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L554-L573,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-006,Medium,Confirmed-static,Projection / assets,crates/flowstate-document/src/loro_projection.rs,306-319,Invalid image asset IDs are coerced to AssetId(0).,"Different malformed references alias the same synthetic ID, hiding corruption and potentially displaying the wrong bytes.",Reject malformed IDs or project an explicit invalid-asset placeholder carrying the raw value.,Set `asset_id` to non-numeric text and reopen.,Asset identity must be canonical and integrity-safe.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L306-L319,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-007,High,Confirmed-static,Projection / captions,crates/flowstate-document/src/loro_projection.rs,477-492,Only the first image-caption paragraph is projected.,Additional caption paragraphs remain in Loro but are invisible and can be lost when the caption is edited through the one-paragraph UI model.,"Change the image projection type to hold a paragraph flow, not one InputParagraph.","Create a two-paragraph caption, reopen, edit, and compare Loro flow.",Caption is an independent paragraph-bearing text flow.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L477-L492,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-008,Medium,Confirmed-static,Projection / plain flows,crates/flowstate-document/src/loro_projection.rs,477-484,"`trim_start_matches('\n')` removes all leading newlines, not only the sentinel.","Legitimate leading blank lines in equation, alt-text, header, footer, or other flows are collapsed.",Remove exactly one sentinel code point when the flow kind requires it.,Create a flow with sentinel plus two leading blank lines and round-trip it.,Projection must deterministically preserve canonical flow contents.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L477-L484,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-009,High,Confirmed-static,Projection / tables,crates/flowstate-document/src/loro_projection.rs,398-426,Images and equations inside table-cell flows are discarded.,"Canonical nested objects can exist but vanish from the table projection, search/export view, and editor.",Extend TableCellBlock to represent all supported object kinds or prevent their insertion canonically with explicit validation.,"Insert an image and equation into a cell flow, reopen, and export.",Cell flows are continuous flows and the object-placeholder strategy applies to supporting flows.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L398-L426,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-010,High,Likely,Projection / tables,crates/flowstate-document/src/loro_projection.rs,340-395,Ragged or overlapping table topology is accepted without a normalization/repair phase.,"Concurrent row/column/cell edits can produce missing cells, duplicate coordinates, invalid spans, or partial rows that render inconsistently.",Add a deterministic table-grid validator and canonical repair transaction; project explicit conflict placeholders until repaired.,"Fuzz concurrent row/column insertion, deletion, span edits, and cell removal.","Tables must remain structured, deterministic CRDT objects.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-document/src/loro_projection.rs#L340-L395,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
